Succinic acid,Spermine,Spermidine,N-Formyl-L-Methionine,Indole-3-acetic acid,N-Acetyl-D-glucosamine,Malonic acid,L-Aspartic acid,L-Asparagine,Isonicotinic acid,Glutaric acid,Fumaric acid,L-Serine,Amantadine,Allantoin,Sinapic acid,Adenosine,Adenine,L-Iditol,beta-Alanine,Melibiose,L-Valine,L-Norleucine,L-Lysine,L-Isoleucine,L-Glutamine,L-Glutamic acid,Maltotriose,Acetophenone,Testosterone,METHYL PROPIONATE,Methyl hexanoate,Fenchol,(+)-Borneol,cis-Citral,Diethyl fumarate,trans-Cinnamyl alcohol,DIETHYL MALEATE,Anthracene,Pyrene
-0.016953552,-0.49483094,-0.41625583,-0.1839542,-0.07936533,-0.4848294,-0.009298492,-0.060830586,-0.13360913,-0.025266128,-0.035266988,-0.02256959,-0.06861801,-0.15319501,-0.45101568,-0.009929345,-0.00074713276,-6.5771346e-05,-0.22200647,-0.053975314,-0.48015133,-0.11479721,-0.14332476,-0.21340445,-0.11177336,-0.15090822,-0.077204205,-0.4181715,-0.011182304,-0.45449236,-0.08311352,-0.17442432,-0.26811332,-0.30345213,-0.4199401,-0.29716143,-0.024312114,-0.29716143,-0.0027223127,-0.00060857355
0.013618064,0.2696598,0.28943828,0.021766584,0.0194455,-0.10309085,0.00923973,0.030015016,-0.07611264,0.029650293,0.004181689,0.039793964,0.044258475,0.63075864,-0.002306466,0.05150604,0.22399156,0.26521546,0.16189022,0.04096542,0.19205715,0.05527452,0.04935622,0.09192523,0.05391679,-0.085262425,0.028114423,0.24062444,-0.0067551103,-0.037573863,0.016511241,0.005400277,0.5750504,0.50084203,0.00055056514,-0.013978822,0.11323779,-0.013978822,0.67870194,0.540191
-0.06315762,-0.36879662,-0.35292697,-0.23174348,-0.16515407,0.0016652351,-0.040667176,-0.17784493,-0.22122608,-0.21285418,-0.093926996,-0.07478187,-0.11344722,-0.119747296,0.2471921,-0.17449266,-0.056988608,-0.115169674,-0.13135938,-0.21390162,0.0077089802,-0.10451989,-0.20056285,-0.17446508,-0.16209227,-0.23394872,-0.17828932,0.03555411,-0.22724217,-0.043947715,-0.24398613,-0.27845502,-0.074616425,-0.029660037,-0.22382568,-0.29551694,-0.21363613,-0.29551694,-0.16869247,-0.16206162
-0.4259611,0.6737217,0.6169012,0.2984445,0.43152988,0.39487877,-0.2351813,-0.5847619,-0.23089525,-0.23802893,-0.46881863,-0.5150725,-0.25343373,-0.32265657,-0.37347946,-0.14888251,0.67141753,0.40740627,0.70754004,-0.3451476,0.6989799,-0.463707,-0.40619865,0.06476906,-0.48539373,-0.23366547,-0.5207008,0.7050451,0.5054494,-0.9637486,-0.3659063,-0.25594336,-0.032139264,0.0071334234,0.6759132,0.044216063,0.3481467,0.044216063,0.5999132,0.6879575
-0.0075506885,-3.784029e-05,-3.6615613e-05,-0.00013424197,-0.0009261585,-0.0011750321,-0.010677854,-7.967819e-05,-8.3241095e-05,-0.001922781,-0.003937406,-0.008423314,-0.0001591031,-8.79894e-05,-0.00034787008,-0.35804468,-0.0011768534,-0.00034393845,-0.00017203596,-0.00043823643,-0.0014432289,-0.00015852161,-0.00016239725,-0.0002611744,-0.0001635957,-0.000105776984,-9.870774e-05,-0.0014542361,-0.0005223015,-0.00138379,-0.00069944316,-0.0003925878,-0.0006663289,-0.00034560045,-0.0002463364,-0.0008645196,-0.0013805024,-0.0008645196,-0.000155448,-0.00038155718
-0.02184816,-0.0044998038,-0.02129641,0.0021824923,-0.045691393,0.014720638,-0.025453573,-0.025078475,0.0510663,-0.03778547,-0.020981465,-0.03228559,-0.051186055,-0.09533917,0.1703195,-0.029686097,-0.067822866,-0.030459384,-0.08966244,-0.03426855,-0.13481139,-0.040440757,-0.071715586,0.0031489138,-0.04555778,0.046827156,-0.024458475,-0.14390491,-0.04703986,-0.11568858,-0.04443287,-0.06446724,-0.060127724,-0.06816973,-0.042925254,-0.015702743,-0.03790033,-0.015702743,-0.099577405,-0.091468036
0.013001315,-0.41495728,-0.3642889,0.08022357,-0.0423144,0.17153952,0.04137297,0.36180446,0.3327012,-0.14318846,-0.016219927,0.083647214,0.24716803,0.26313105,0.1569266,0.035623778,0.005266048,-0.25205663,0.016929163,0.050999925,-0.0022448339,0.22542547,0.17587487,0.2241819,0.26411834,0.23813696,0.16480596,0.23446101,-0.2759186,0.09379046,-0.20366998,-0.35056853,-0.1353019,0.051971816,-0.2859583,-0.16269247,-0.08002551,-0.16269247,-0.21359026,-0.21953526
-0.3024184,-0.5336884,-0.50560766,-0.025207398,-0.46184534,-0.3002524,-0.20533405,-0.31934115,-0.24219528,-0.2463572,-0.3294684,-0.31409597,-0.2445813,-0.46825156,-0.088684596,0.34261668,-0.28821453,-0.06891742,-0.55514234,-0.16334298,-0.30560866,-0.3004323,-0.060878832,-0.025717296,-0.081920266,-0.30031794,-0.31752568,-0.25066757,-0.17393918,0.68701464,-0.24698623,-0.056350697,0.1935578,-0.0205896,-0.1566987,-0.2519762,-0.19961998,-0.2519762,-0.3146973,-0.30237985
-0.09916289,-0.94269913,-0.9321541,-0.4227942,-0.03900996,-0.76406187,-0.06362794,-0.77764934,-0.8993086,0.008130851,-0.11449401,-0.12836614,-0.69713956,-0.8607529,-0.95760876,0.5126426,-0.68443805,-0.55869603,-0.50441045,-0.5400003,-0.53066283,-0.7155987,-0.6236282,-0.88002735,-0.77978927,-0.87454414,-0.77090716,-0.49090067,0.1857595,0.42661858,-0.19804896,0.25389287,0.3594593,0.44401821,0.6369285,0.46937752,-0.014014608,0.46937752,0.50936204,0.33029133
-0.010753527,-2.468786e-06,-3.6387487e-06,-0.0060244007,-0.04201811,-0.310292,-0.010876686,-0.0066426047,-0.0030566286,-0.03974045,-0.01602755,-0.014581587,-0.0013170724,-0.0005176795,-0.0025502201,-0.14005499,-0.0020052618,-0.00019590861,-0.033289663,-0.0005891651,-0.14587118,-0.00095112016,-0.0043041743,-0.00020079524,-0.0016444328,-0.005454582,-0.009487892,-0.15975349,-0.12119127,-0.4358445,-0.10367638,-0.1695319,-0.05273719,-0.028393172,-0.14050995,-0.4501728,-0.05526717,-0.4501728,-0.020991199,-0.038534664
0.0051821535,0.00032242562,0.00028385076,0.060786065,0.005345733,0.014198418,0.0036337646,0.0003006289,0.021290602,0.0053260257,0.010699458,0.0054938514,0.0038217558,5.8828424e-05,0.72512436,0.0007732068,0.010096351,0.0007217231,5.1949297e-05,0.0028074654,3.7274673e-05,0.0018096303,0.0023547763,0.0034879255,0.0030887844,0.02527587,0.0008710574,2.498358e-05,0.002185123,0.064575024,0.005553377,0.007987556,0.001829616,0.0027434481,0.004215995,0.0015758267,0.00087401766,0.0015758267,5.8319238e-05,0.00016128586
0.23910885,-0.49585843,-0.64109737,-0.46299016,-0.6735226,-0.10966443,0.27612767,-0.49504122,-0.45359147,-0.22710192,0.21525656,0.18135412,-0.7453581,-0.85910636,0.34689423,-0.07670282,0.54117215,-0.57532334,-0.16943331,-0.6721806,0.15103954,-0.836725,-0.861842,-0.7185448,-0.8515062,-0.41529945,-0.5242652,0.15246181,-0.39577845,-0.68287677,-0.695137,-0.70829046,-0.60376644,-0.8753997,-0.46465212,-0.3889499,-0.69419754,-0.3889499,-0.12928526,0.045123838
-0.020060232,-0.70770675,-0.7135985,-0.4157115,-0.021459067,-0.031392276,0.048513714,-0.7540575,-0.69805336,-0.046657376,0.01816498,-0.082693405,-0.7218417,-0.1702971,-0.06358614,-0.08750431,-0.91877306,-0.45115253,-0.04643172,-0.6574289,-0.019081686,-0.7512909,-0.71551824,-0.8325964,-0.75183254,-0.570052,-0.7706661,-0.01709911,-0.03167461,-0.107703164,-0.018380148,-0.019457502,-0.09368699,-0.07705242,-0.025495924,-0.0045210123,-0.046975866,-0.0045210123,-0.014999471,-0.020855252
-0.08305971,-0.9600911,-0.92884725,-0.84463805,-0.14213233,-0.0013319585,-0.07942687,-0.7551913,-0.86062074,-0.11834309,-0.11609855,-0.07858708,-0.73717916,-0.06434041,-0.113892496,-0.20572227,0.053339012,-0.05895475,-0.8447243,-0.5279077,-0.03052904,-0.8407863,-0.771652,-0.6564679,-0.86150426,-0.84270304,-0.691794,-0.033375498,-0.100089654,-0.00022720023,-0.45485187,-0.4326667,-0.0019243251,-2.0809775e-05,-0.68148136,-0.76228106,-0.32737103,-0.76228106,-0.26925492,-0.066246144
0.065473996,0.17569819,0.12896731,0.2170658,0.14172003,0.5149325,0.04980056,0.2902345,0.27074605,0.19993302,0.13008752,0.030086013,0.24378645,0.031097598,0.4597746,0.04167639,0.6203788,0.11221958,0.6594784,0.23518822,0.1931541,0.06320875,0.14236322,0.15161458,0.05909372,0.2861566,0.3330976,0.14030094,0.1365502,9.141714e-06,0.11606808,0.16177583,0.0016373507,0.0004208802,0.0035412214,0.062905766,0.111940406,0.062905766,0.15763094,0.0614277
0.034448594,0.2355316,0.12507628,0.20934163,0.024192974,-0.04772873,0.031737264,0.27781588,0.2904629,0.080423795,0.052036405,0.046357255,0.21616873,-0.052512556,-0.063431114,0.012286939,-0.054000113,-0.044409074,0.0052895434,0.062073354,-0.69778323,0.19604547,-0.023825709,0.0578534,0.15638459,0.24831127,0.19447048,-0.72385705,-0.26458222,-0.13824534,-0.21925288,-0.47452956,-0.14366996,-0.10131817,-0.015331185,-0.26540828,-0.068546325,-0.26540828,-0.29007605,-0.23763187
-0.006361264,-0.010527921,-0.0109571945,-0.8334309,-0.021025117,-0.6734643,-0.0027493152,-0.8304868,-0.476534,-0.005184621,-0.005560956,-0.0041410974,-0.51027846,-0.5796299,-0.6315686,-0.04224574,-0.0054295007,-0.049076393,-0.3326923,-0.20516984,-0.5105772,-0.7957678,-0.62515324,-0.33981562,-0.6020575,-0.37059993,-0.8315151,-0.38358223,-0.032195006,-0.88911223,-0.57518613,-0.76995045,-0.54377127,-0.6647671,-0.68690646,-0.61736405,-0.015426872,-0.61736405,0.0003952704,-3.8515198e-05
0.0049966094,0.114172034,0.12670855,-0.019072374,-0.15957662,-0.03484266,0.0033089381,-0.016802954,0.019348336,-0.0072413674,0.00415966,0.004593603,0.070987485,0.08261366,0.0033785389,-0.034485973,-0.013950056,-0.027976032,-0.27443787,0.061493464,-0.09276838,0.09155336,-0.014922125,0.11578063,0.06459534,0.0065999506,-0.07406604,-0.14802667,-0.25198436,-0.17282799,-0.20702127,-0.42074847,-0.2509348,-0.2317655,-0.040810913,-0.5019225,-0.14974755,-0.5019225,-0.46741086,-0.45118898
0.0040596635,0.003782186,0.0041226316,0.010957697,0.0067268605,0.045428026,0.0031917458,0.0075613633,0.0047745975,0.007847054,0.004752484,0.0061244974,0.01189176,0.006724914,0.022717461,-0.2812961,0.13707595,0.009764167,0.020632373,0.005411861,0.16710106,0.00778509,0.010000109,0.008570773,0.0073298733,0.005489323,0.011423866,0.2145034,0.0066586197,0.21428747,0.0035824836,0.019434052,0.02640849,0.037767746,0.006717019,0.010934171,0.0090298075,0.010934171,0.001965416,0.0036518343
-0.06961767,-0.00012962277,-0.00019503626,-0.0005430843,-0.0020401136,-0.00018198241,-0.2985048,-0.0015495764,-0.00026986946,-0.03602872,-0.021141449,-0.062085215,-0.000109583096,-0.012831169,-4.3776623e-07,-0.013010962,0.0004092606,-0.00022315516,-0.0004239209,-0.0014145698,-0.00079837925,-0.00043423698,-0.0034299588,-0.00023165146,-0.0006002,-0.0005566146,-0.003027837,-0.0012692056,-0.3223366,-0.056500178,-0.38783833,-0.69565815,-0.017452983,-0.0058766706,-0.39018098,-0.68533826,-0.044412743,-0.68533826,-0.5281659,-0.31905752
0.032757442,-0.089217074,-0.08447887,-0.12360053,-0.12439354,0.060776226,0.07593618,-0.15822798,-0.17429991,0.012679443,0.024147518,0.021532478,-0.04561514,-0.040460546,-0.11387286,0.5257226,0.1457787,-0.040613607,0.11901635,-0.07805633,0.4228673,-0.15914819,-0.1861177,-0.16857053,-0.17943047,-0.15913275,-0.12587982,0.4286646,-0.08718854,-0.12857716,-0.028577778,-0.05396773,-0.08643748,-0.10011735,-0.120012596,-0.030271882,-0.0322815,-0.030271882,-0.053685527,-0.068273254
-0.050154623,-0.26319438,-0.3274607,-0.6347031,-0.76475644,-0.3097656,-0.15001594,-0.7915041,-0.8026428,-0.25882903,-0.07519734,0.21909857,-0.5113832,-0.36926115,-0.5595209,0.24998498,0.37157005,-0.5018443,-0.4643096,-0.7020053,-0.53284395,-0.6194629,-0.8175076,-0.8131332,-0.6679034,-0.7132051,-0.77998114,-0.34193653,-0.38290688,0.5614335,-0.6235942,-0.83309084,-0.15233517,0.08856916,0.29841185,-0.00023210997,0.24682209,-0.00023210997,-0.23114562,-0.020246152
0.01708769,0.00026195645,0.0005372251,0.018447503,0.0043270052,0.0010923693,0.03381003,0.0052899937,0.019529836,0.023802955,0.008179959,0.0152715705,0.010322059,0.01272469,0.12764885,0.025236275,0.0003297123,0.018502684,0.00021093174,0.024465226,0.00013999734,0.016320836,0.006769715,0.0027847954,0.025825141,0.014570625,0.0027292052,-3.529305e-05,0.012531868,0.002993711,0.010180501,0.0021413271,0.007988681,0.010278017,0.009509532,0.0013379974,0.007096206,0.0013379974,0.0022880896,0.002434576
-0.012723575,-0.08449369,-0.053633757,-0.00014758574,-0.15305246,-0.12563528,-0.014561019,-0.40355325,-0.31102556,-0.103572525,-0.04144554,-0.008467286,-0.60237825,0.0008282514,-0.35552225,-0.36083224,-0.005016173,-0.08115579,-0.49789736,-0.22829366,-0.5129976,-0.5575026,-0.5037285,-0.33615655,-0.5569612,-0.35062963,-0.48252854,-0.6083082,-0.12196498,-0.079827145,-0.19044869,-0.30925584,-0.32176235,-0.27177027,-0.5629081,-0.50183433,-0.29550081,-0.50183433,-0.09695675,-0.07057436
-0.036085736,-0.032921307,-0.028869187,-0.0025740843,-0.07102376,-0.021546077,-0.009126595,-0.01627423,-0.036072947,-0.04732498,-0.03180325,-0.0400471,-0.011354281,-0.022535715,-0.15427484,-0.00018248457,-0.6834675,-0.56727505,-4.629124e-06,-0.056818858,0.0009195973,-0.04067442,-0.02203963,-0.041361053,-0.03537842,-0.03131616,-0.009551973,0.001182581,-0.0029064694,-0.014678861,-0.009576909,-0.0039267475,-0.00965174,-0.019924583,-0.005420335,-0.003384352,-0.00579376,-0.003384352,-0.0003615208,-0.0006689059
0.009360386,0.004958147,0.005921475,0.0064270925,0.10412286,0.05127101,0.012409962,0.029327067,0.098126836,0.09806112,0.0146768335,0.008071384,0.013008992,0.030333692,0.031834986,0.057399873,0.089856684,0.019644175,0.013080184,0.018508699,0.031772226,0.05735631,0.052159797,0.032974772,0.06848268,0.1334954,0.035213254,0.030195141,0.059826445,0.16979368,0.07476318,0.2031531,0.2088766,0.21377233,0.052962564,0.061770942,0.03316059,0.061770942,0.0422309,0.040233266
0.7984905,-0.6192617,-0.47923377,0.5690397,0.7574168,0.98988295,0.8479368,0.9885082,0.9258051,0.9688539,0.86326283,0.7766564,0.9276024,0.8919498,0.88905144,-0.30416608,0.99638724,0.81891847,0.71510917,0.93394715,0.8258827,0.98907304,0.96199626,0.70247215,0.9690461,0.93753374,0.97633934,0.79678756,0.53024465,-0.312275,0.98536074,0.9897392,0.98836994,0.9916486,-0.10262678,-0.14544965,0.6454922,-0.14544965,0.35964915,-0.06887885
