Succinic Acid,Spermidine,Gamma-Amino-N-Butyric Acid,Malonic Acid,L-Aspartic Acid,L-Asparagine,Glycylglycine,Glutaric Acid,Fumaric Acid,L-Serine,Ethanolamine,Allantoin,"1,4-Butanediamine",4-Hydroxyphenylpyruvic Acid,Beta-Alanine,L-Valine,L-Ornithine,L-Norleucine,L-Lysine,L-Glutamine,L-Alanine,L-Tyrosine,Tryptophan,L-Leucine,Glycine,Glycerol,Caffeine,"1,3-Diaminopropane",Phenanthrene,Lauric Acid,Benzoic Acid,Anthracene,"(5R,11R)-5,11-Dimethylpentacosane",Pyrene,Fluorene,Biphenyl,Naphthalene,Pentadecane,Undecane,Hexachlorobenzene,Benzyl Benzoate,1-Hexanol,Methyl Benzoate,Methyl Octadecanoate,1-Octanol,Isopentyl Acetate,Methyl Hexanoate,2-Octanol,Benzyl Alcohol,Testosterone
-0.016953552,-0.41625583,-0.08794754,-0.009298492,-0.05452256,-0.13360913,-0.28419343,-0.035266988,-0.02256959,-0.06861801,-0.12649241,-0.45101568,-0.22181821,-0.06739128,-0.053975314,-0.11479721,-0.11252649,-0.14332476,-0.21340445,-0.15090822,-0.06471111,-0.007354641,-0.107465275,-0.1374323,-0.06311389,-0.07725809,-0.007428582,-0.19717443,-0.0020110551,-0.17065354,-0.016891308,-0.0027223127,-0.19553483,-0.00060857355,-0.00030542852,-0.007641815,-0.0053301295,-0.14008039,-0.13732313,-0.005934111,-0.07090703,-0.29791325,-0.012519621,-0.21298537,-0.29307368,-0.24026781,-0.17442432,-0.20085107,-0.022483656,-0.45449236
0.013618064,0.28943828,0.0443068,0.00923973,0.026516553,-0.07611264,-0.06462409,0.004181689,0.039793964,0.044258475,0.3239837,-0.002306466,0.32094625,-0.0025471582,0.04096542,0.05527452,0.09992952,0.04935622,0.09192523,-0.085262425,0.042771596,0.03508865,0.014368334,0.059517164,0.036241006,0.20787038,0.07583227,0.3505978,0.6307627,0.008750939,0.02396359,0.67870194,0.06091811,0.540191,0.59667397,0.23251171,0.59351313,0.511038,0.504014,0.57486933,0.05118105,0.4130276,0.033381335,0.010448165,0.5087306,0.028810805,0.005400277,0.5366568,0.5463261,-0.037573863
-0.06315762,-0.35292697,-0.26375905,-0.040667176,-0.25927213,-0.22122608,-0.26387042,-0.093926996,-0.07478187,-0.11344722,-0.22701518,0.2471921,-0.26225796,-0.19059741,-0.21390162,-0.10451989,-0.23664823,-0.20056285,-0.17446508,-0.23394872,-0.1890326,-0.14521797,-0.26009807,-0.14586098,-0.19361167,-0.20197463,0.54920363,-0.22156383,-0.18557708,-0.2539532,-0.13130714,-0.16869247,-0.19419728,-0.16206162,-0.15118301,-0.19022818,-0.17911029,-0.22562629,-0.20667474,-0.13863994,-0.08794135,-0.24595793,-0.22224502,-0.27084056,-0.24231368,-0.17429776,-0.27845502,-0.24267517,-0.18697827,-0.043947715
-0.4259611,0.6169012,-0.46512428,-0.2351813,-0.62232476,-0.23089525,-0.19242173,-0.46881863,-0.5150725,-0.25343373,-0.20765288,-0.37347946,0.27119923,0.4444472,-0.3451476,-0.463707,0.0038754162,-0.40619865,0.06476906,-0.23366547,-0.36284974,-0.26125774,-0.2667909,-0.2549146,-0.27790615,0.3485858,-0.29623085,0.16428182,0.61430395,-0.70185155,0.06966704,0.5999132,0.8086105,0.6879575,0.7261664,0.37349916,0.4892306,0.7155208,0.6943741,0.49443406,-0.04690573,0.22963344,0.040715713,-0.29413292,0.32010984,0.20845513,-0.25594336,0.56434333,0.43360063,-0.9637486
-0.0075506885,-3.6615613e-05,-0.00030876964,-0.010677854,-9.4357376e-05,-8.3241095e-05,-0.000104017636,-0.003937406,-0.008423314,-0.0001591031,-0.0001284818,-0.00034787008,-5.7696918e-05,-0.019810319,-0.00043823643,-0.00015852161,-0.00014529038,-0.00016239725,-0.0002611744,-0.000105776984,-0.00029291783,-0.014451281,-0.0005473762,-0.00013915492,-0.00037395835,-0.00012477562,-0.002806305,-5.6813184e-05,-0.00017252644,-0.00010988934,-0.0032008244,-0.000155448,-0.00023807523,-0.00038155718,-0.0001265536,-0.00051226723,-0.00014413445,-4.1994885e-05,-3.3941236e-05,-0.0001453953,-0.019082755,-0.00014215817,-0.0014453084,-0.00073151145,-7.9879406e-05,-0.0012779285,-0.0003925878,-0.00015658977,-0.0004050315,-0.00138379
-0.02184816,-0.02129641,-0.02820323,-0.025453573,-0.024203934,0.0510663,0.08431293,-0.020981465,-0.03228559,-0.051186055,-0.04351152,0.1703195,-0.039656516,-0.04522037,-0.03426855,-0.040440757,-0.015624765,-0.071715586,0.0031489138,0.046827156,-0.048357453,-0.026782257,-0.046930272,-0.053732708,-0.008938345,-0.045152713,-0.024721008,-0.04348567,-0.09946466,-0.056257874,-0.047431547,-0.099577405,-0.14000304,-0.091468036,-0.09344263,-0.06617675,-0.0929422,-0.12324477,-0.121237196,-0.06482725,-0.04650811,-0.056721635,-0.033872873,-0.081579015,-0.07307528,-0.059820555,-0.06446724,-0.0882476,-0.060170803,-0.11568858
0.013001315,-0.3642889,0.0624656,0.04137297,0.38841537,0.3327012,-0.043752618,-0.016219927,0.083647214,0.24716803,-0.14219186,0.1569266,-0.26668593,0.016038828,0.050999925,0.22542547,0.24269742,0.17587487,0.2241819,0.23813696,0.18840964,0.1499441,-0.23870134,0.2093783,-0.05131813,0.03363911,-0.73588085,-0.24351737,-0.25537005,-0.18700454,-0.04039023,-0.21359026,-0.4328629,-0.21953526,-0.3013153,-0.20213217,-0.18168074,-0.4862207,-0.450519,-0.23766652,-0.16338263,-0.20688133,-0.24483947,-0.416136,-0.32195702,-0.10826405,-0.35056853,-0.37289834,-0.078977056,0.09379046
-0.3024184,-0.50560766,-0.13830821,-0.20533405,-0.27434504,-0.24219528,-0.10752423,-0.3294684,-0.31409597,-0.2445813,-0.27224728,-0.088684596,-0.40689182,-0.42676592,-0.16334298,-0.3004323,-0.1466652,-0.060878832,-0.025717296,-0.30031794,-0.14890663,-0.080027744,-0.21817231,-0.40444636,-0.13477424,-0.37812823,-0.033874188,-0.3075095,-0.34800935,-0.035711776,-0.2744078,-0.3146973,-0.061137836,-0.30237985,0.023225358,-0.2887034,-0.32057405,-0.2010765,-0.22495268,0.52254313,-0.10185841,-0.17295489,-0.057229135,0.123201564,-0.070847765,-0.20901684,-0.056350697,-0.17424417,-0.14102109,0.68701464
-0.09916289,-0.9321541,-0.64840645,-0.06362794,-0.7837754,-0.8993086,-0.83223736,-0.11449401,-0.12836614,-0.69713956,-0.8162959,-0.95760876,-0.8378828,0.5597627,-0.5400003,-0.7155987,-0.8417322,-0.6236282,-0.88002735,-0.87454414,-0.6324713,-0.7050508,-0.04956659,-0.7263492,-0.5298968,-0.42231283,0.5253221,-0.7720638,0.43845743,0.6013604,-0.0032716428,0.50936204,0.72446716,0.33029133,0.39654136,0.019192597,0.4625101,0.6021559,0.57640266,0.3082792,0.5662271,0.17238985,0.21076414,0.60453695,0.39442688,0.41702738,0.25389287,0.48885438,0.15006259,0.42661858
-0.010753527,-3.6387487e-06,-0.0007825626,-0.010876686,-0.0052914144,-0.0030566286,-0.00023252696,-0.01602755,-0.014581587,-0.0013170724,-0.00041890884,-0.0025502201,-2.3351826e-05,-0.20535597,-0.0005891651,-0.00095112016,-0.00011855224,-0.0043041743,-0.00020079524,-0.005454582,-0.0016091141,-0.008740341,-0.14811383,-0.00096478435,-0.0011216693,-0.011494663,-0.028138023,-4.7689107e-05,-0.024582673,-0.06001117,-0.052564733,-0.020991199,-0.009037959,-0.038534664,-0.045967758,-0.014690713,-0.016821558,-0.03389976,-0.034719612,-0.03509004,-0.31942478,-0.09205284,-0.11707792,-0.12335709,-0.13576882,-0.1337583,-0.1695319,-0.25066406,-0.035781898,-0.4358445
